"";"Illness";"Gender";"Age";"Diagnosis";"Residency";"Year";"occurences";"Number of residence"
"158";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2017";9;NA
"159";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2018";6;NA
"160";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2019";9;NA
"161";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2012";5;NA
"162";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2013";7;NA
"163";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2014";2;NA
"164";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2015";3;NA
"165";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2016";6;NA
"166";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2017";5;NA
"167";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2018";5;NA
"168";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2019";7;NA
"169";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2012";6;NA
"170";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2013";5;NA
"171";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2014";3;NA
"172";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2015";10;NA
"173";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2016";1;NA
"174";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2017";6;NA
"175";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2018";5;NA
"176";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2019";7;NA
"177";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2012";243;NA
"178";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2013";251;NA
"179";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2014";260;NA
"180";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2015";255;NA
"181";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2016";285;NA
"182";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2017";261;NA
"183";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2018";245;NA
"184";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2019";246;NA
"185";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2012";506;NA
"186";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2013";459;NA
"187";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2014";458;NA
"188";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2015";405;NA
"189";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2016";455;NA
"190";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2017";480;NA
"191";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2018";519;NA
"192";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2019";504;NA
"193";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2012";220;NA
"194";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2013";199;NA
"195";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2014";193;NA
"196";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2015";177;NA
"197";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2016";175;NA
"198";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2017";155;NA
"199";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2018";169;NA
"200";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2019";158;NA
"201";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2012";191;NA
"202";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2013";187;NA
"203";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2014";169;NA
"204";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2015";164;NA
"205";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2016";153;NA
"206";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2017";152;NA
"207";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2018";164;NA
"208";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2019";157;NA
"209";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2012";117;NA
"210";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2013";143;NA
"211";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2014";137;NA
"212";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2015";114;NA
"213";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2016";118;NA
"214";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2017";114;NA
"215";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2018";116;NA
"216";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2019";125;NA
"217";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2012";173;NA
"218";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2013";155;NA
"219";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2014";161;NA
"220";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2015";156;NA
"221";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2016";147;NA
"222";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2017";161;NA
"223";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2018";173;NA
"224";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2019";191;NA
"225";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2012";265;NA
"226";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2013";283;NA
"227";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2014";256;NA
"228";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2015";268;NA
"229";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2016";296;NA
"230";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2017";306;NA
"231";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2018";294;NA
"232";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2019";323;NA
"233";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2012";110;NA
"234";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2013";95;NA
"235";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2014";80;NA
"236";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2015";114;NA
"237";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2016";83;NA
"238";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2017";100;NA
"239";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2018";128;NA
"240";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2019";93;NA
"241";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2012";209;NA
"242";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2013";210;NA
"243";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2014";216;NA
"244";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2015";212;NA
"245";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2016";206;NA
"246";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2017";226;NA
"247";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2018";236;NA
"248";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2019";194;NA
"249";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2012";114;NA
"250";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2013";119;NA
"251";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2014";133;NA
