"";"Illness";"Gender";"Age";"Diagnosis";"Residency";"Year";"occurences"
"25";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2012";36
"26";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2013";45
"27";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2014";38
"28";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2015";27
"29";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2016";33
"30";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2017";31
"31";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2018";37
"32";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2019";39
"33";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2012";38
"34";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2013";36
"35";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2014";32
"36";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2015";23
"37";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2016";29
"38";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2017";21
"39";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2018";21
"40";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2019";34
"41";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2012";48
"42";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2013";42
"43";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2014";38
"44";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2015";50
"45";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2016";47
"46";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2017";45
"47";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2018";40
"48";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2019";45
"49";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2012";77
"50";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2013";53
"51";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2014";54
"52";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2015";69
"53";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2016";79
"54";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2017";91
"55";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2018";85
"56";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2019";72
"57";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2012";27
"58";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2013";23
"59";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2014";15
"60";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2015";26
"61";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2016";23
"62";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2017";22
"63";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2018";23
"64";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2019";14
"65";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2012";53
"66";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2013";53
"67";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2014";44
"68";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2015";43
"69";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2016";39
"70";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2017";43
"71";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2018";45
"72";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2019";47
"73";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2012";30
"74";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2013";32
"75";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2014";25
"76";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2015";25
"77";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2016";30
"78";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2017";27
"79";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2018";23
"80";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2019";23
"81";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2012";27
"82";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2013";28
"83";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2014";28
"84";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2015";26
"85";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2016";26
"86";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2017";30
"87";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2018";31
"88";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2019";24
"89";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2012";12
"90";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2013";20
"91";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2014";9
"92";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2015";21
"93";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2016";13
"94";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2017";21
"95";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2018";8
"96";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2019";20
"97";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2012";28
"98";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2013";30
"99";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2014";21
"100";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2015";40
"101";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2016";19
"102";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2017";21
"103";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2018";20
"104";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2019";28
"105";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2012";10
"106";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2013";10
"107";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2014";9
"108";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2015";10
"109";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2016";6
"110";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2017";7
"111";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2018";9
"112";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2019";6
"113";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2012";9
"114";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2013";10
"115";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2014";16
"116";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2015";9
"117";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2016";8
"118";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2017";8
"119";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2018";5
"120";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2019";5
"121";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2012";9
"122";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2013";3
"123";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2014";7
"124";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2015";4
"125";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2016";7
"126";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2017";5
"127";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2018";9
"128";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2019";2
"129";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2012";13
"130";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2013";7
"131";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2014";18
"132";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2015";13
"133";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2016";10
"134";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2017";5
"135";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2018";7
"136";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2019";8
"137";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2012";19
"138";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2013";14
"139";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2014";13
"140";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2015";14
"141";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2016";16
"142";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2017";12
"143";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2018";18
"144";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2019";29
"145";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2012";2
"146";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2013";4
"147";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2014";5
"148";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2015";4
"149";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2016";2
"150";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2017";6
"151";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2018";5
"152";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2019";5
"153";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2012";9
"154";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2013";10
"155";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2014";8
"156";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2015";9
"157";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2016";9
"158";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2017";9
"159";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2018";6
"160";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2019";9
"161";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2012";5
"162";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2013";7
"163";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2014";2
"164";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2015";3
"165";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2016";6
"166";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2017";5
"167";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2018";5
"168";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Nordland";"X2019";7
"169";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2012";6
"170";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2013";5
"171";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2014";3
"172";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2015";10
"173";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2016";1
"174";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2017";6
"175";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2018";5
"176";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Troms og Finnmark";"X2019";7
"177";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2012";243
"178";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2013";251
"179";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2014";260
"180";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2015";255
"181";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2016";285
"182";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2017";261
"183";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2018";245
"184";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Oslo";"X2019";246
"185";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2012";506
"186";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2013";459
"187";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2014";458
"188";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2015";405
"189";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2016";455
"190";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2017";480
"191";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2018";519
"192";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Viken";"X2019";504
"193";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2012";220
"194";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2013";199
"195";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2014";193
"196";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2015";177
"197";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2016";175
"198";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2017";155
"199";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2018";169
"200";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Innlandet";"X2019";158
"201";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2012";191
"202";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2013";187
"203";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2014";169
"204";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2015";164
"205";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2016";153
"206";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2017";152
"207";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2018";164
"208";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestfold og Telemark";"X2019";157
"209";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2012";117
"210";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2013";143
"211";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2014";137
"212";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2015";114
"213";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2016";118
"214";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2017";114
"215";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2018";116
"216";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Agder";"X2019";125
"217";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2012";173
"218";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2013";155
"219";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2014";161
"220";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2015";156
"221";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2016";147
"222";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2017";161
"223";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2018";173
"224";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Rogaland";"X2019";191
"225";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2012";265
"226";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2013";283
"227";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2014";256
"228";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2015";268
"229";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2016";296
"230";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2017";306
"231";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2018";294
"232";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Vestland";"X2019";323
"233";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2012";110
"234";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2013";95
"235";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2014";80
"236";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2015";114
"237";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2016";83
"238";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2017";100
"239";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2018";128
"240";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"More og Romsdal";"X2019";93
"241";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2012";209
"242";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2013";210
"243";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2014";216
"244";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2015";212
"245";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2016";206
"246";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2017";226
"247";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2018";236
"248";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Trondelag";"X2019";194
"249";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2012";114
"250";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2013";119
"251";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2014";133
"252";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2015";125
"253";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2016";117
"254";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2017";131
"255";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2018";101
"256";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Nordland";"X2019";100
"257";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Troms og Finnmark";"X2012";140
"258";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Troms og Finnmark";"X2013";124
"259";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Troms og Finnmark";"X2014";120
"260";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Troms og Finnmark";"X2015";140
"261";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Troms og Finnmark";"X2016";137
"262";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Troms og Finnmark";"X2017";126
"263";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Troms og Finnmark";"X2018";117
"264";"Akutt hjerneslag";"Mann";"50-69 ";"Hoveddiagnose";"Troms og Finnmark";"X2019";130
"265";"Akutt hjerneslag";"Mann";"50-69 ";"Kun bidiagnose";"Oslo";"X2012";61
